tortoise,species,passage,scat,successes,total
F,physalis,gutpassage,yesscat,9,11
G,physalis,gutpassage,yesscat,6,7
A,physalis,nogutpassage,noscat,0,4
B,physalis,nogutpassage,noscat,4,12
C,physalis,nogutpassage,noscat,1,9
D,physalis,nogutpassage,noscat,2,8
E,physalis,nogutpassage,noscat,2,10
F,physalis,nogutpassage,noscat,2,7
G,physalis,nogutpassage,noscat,3,9
A,physalis,nogutpassage,yesscat,7,7
B,physalis,nogutpassage,yesscat,9,12
C,physalis,nogutpassage,yesscat,7,11
D,physalis,nogutpassage,yesscat,7,10
E,physalis,nogutpassage,yesscat,10,12
F,physalis,nogutpassage,yesscat,8,9
G,physalis,nogutpassage,yesscat,9,10
A,sjam,gutpassage,noscat,0,6
B,sjam,gutpassage,noscat,0,10
C,sjam,gutpassage,noscat,0,8
D,sjam,gutpassage,noscat,0,9
E,sjam,gutpassage,noscat,0,7
F,sjam,gutpassage,noscat,0,5
G,sjam,gutpassage,noscat,0,4
A,sjam,gutpassage,yesscat,0,6
B,sjam,gutpassage,yesscat,0,10
C,sjam,gutpassage,yesscat,0,8
D,sjam,gutpassage,yesscat,0,8
E,sjam,gutpassage,yesscat,0,7
F,sjam,gutpassage,yesscat,0,5
G,sjam,gutpassage,yesscat,0,5
A,sjam,nogutpassage,noscat,3,6
B,sjam,nogutpassage,noscat,5,10
C,sjam,nogutpassage,noscat,4,8
D,sjam,nogutpassage,noscat,3,8
E,sjam,nogutpassage,noscat,4,7
F,sjam,nogutpassage,noscat,3,5
G,sjam,nogutpassage,noscat,3,5
A,sjam,nogutpassage,yesscat,3,6
B,sjam,nogutpassage,yesscat,6,10
C,sjam,nogutpassage,yesscat,6,8
D,sjam,nogutpassage,yesscat,7,8
E,sjam,nogutpassage,yesscat,6,7
F,sjam,nogutpassage,yesscat,4,5
G,sjam,nogutpassage,yesscat,8,9
A,waltheria,gutpassage,noscat,0,6
B,waltheria,gutpassage,noscat,0,3
C,waltheria,gutpassage,noscat,0,4
D,waltheria,gutpassage,noscat,0,5
E,waltheria,gutpassage,noscat,0,7
F,waltheria,gutpassage,noscat,0,6
G,waltheria,gutpassage,noscat,0,4
A,waltheria,gutpassage,yesscat,0,6
B,waltheria,gutpassage,yesscat,0,3
