individual,individual,species,date_eaten,date_excreted,recovered
C,284061,cyperus,3/1/16,5/17/16,1
C,284061,cyperus,3/1/16,5/17/16,1
C,284061,cyperus,3/1/16,5/23/16,1
C,284061,cyperus,3/1/16,5/31/16,1
D,A73789572,cyperus,8/30/16,9/23/16,1
D,A73789572,cyperus,8/30/16,10/4/16,1
D,A73789572,cyperus,8/30/16,10/16/16,1
D,A73789572,cyperus,8/30/16,10/19/16,1
D,A73789572,cyperus,8/30/16,10/30/16,1
D,A73789572,cyperus,8/30/16,11/10/16,1
D,A73789572,cyperus,8/30/16,11/10/16,1
D,A73789572,cyperus,8/30/16,12/1/16,1
D,A73789572,cyperus,8/30/16,12/13/16,1
D,A73789572,cyperus,8/30/16,12/14/16,1
D,A73789572,cyperus,8/30/16,12/14/16,1
D,A73789572,cyperus,8/30/16,12/28/16,1
E,284061,cyperus,3/1/16,4/24/16,1
E,284061,cyperus,3/1/16,5/3/16,1
E,284061,cyperus,3/1/16,5/7/16,1
E,284061,cyperus,3/1/16,5/9/16,1
E,284061,cyperus,3/1/16,5/9/16,1
E,284061,cyperus,3/1/16,5/9/16,1
E,284061,cyperus,3/1/16,5/15/16,1
E,284061,cyperus,3/1/16,5/16/16,1
E,284061,cyperus,3/1/16,5/17/16,1
E,284061,cyperus,3/1/16,5/17/16,1
E,284061,cyperus,3/1/16,5/23/16,1
E,284061,cyperus,3/1/16,5/31/16,1
G,616114,cyperus,11/18/15,,0
G,616114,cyperus,11/18/15,1/7/16,1
B,616114,eustachys,11/18/15,1/5/16,1
B,616114,eustachys,11/18/15,1/5/16,1
B,616114,eustachys,11/18/15,1/7/16,1
B,616114,eustachys,11/18/15,1/9/16,1
B,616114,eustachys,11/18/15,1/9/16,1
B,616114,eustachys,11/18/15,1/9/16,1
B,616114,eustachys,11/18/15,1/10/16,1
B,616114,eustachys,11/18/15,1/10/16,1
B,616114,eustachys,11/18/15,1/12/16,1
B,616114,eustachys,11/18/15,1/12/16,1
D,A73789572,eustachys,8/30/16,10/4/16,1
D,A73789572,eustachys,8/30/16,10/4/16,1
G,616114,eustachys,11/18/15,1/5/16,1
G,616114,eustachys,11/18/15,1/5/16,1
G,616114,eustachys,11/18/15,1/7/16,1
G,616114,eustachys,11/18/15,,0
